381	3	WA
363	2	WA
441	10	AC
384	4	WA
456	5	WA
456	7	AC
382	4	AC
456	6	AC
456	9	AC
363	2	WA
382	4	AC
384	5	AC
380	2	TLE
381	3	WA
386	2	AC
382	4	AC
386	3	WA
386	3	AC
386	4	RTE
386	4	RTE
56	1	CE
380	2	CE
56	1	WA
380	2	TLE
56	1	WA
56	1	WA
354	1	CE
354	1	CE
56	1	WA
56	1	AC
383	3	TLE
354	1	AC
380	2	WA
380	2	AC
380	3	TLE
367	2	AC
383	2	WA
380	3	WA
380	9	TLE
383	3	WA
380	3	WA
381	9	TLE
383	3	WA
383	3	TLE
380	3	WA
367	1	CE
381	9	CE
383	2	AC
381	9	TLE
383	3	WA
383	3	WA
364	1	WA
383	3	WA
436	2	AC
383	3	WA
436	3	AC
364	1	WA
436	4	WA
364	1	WA
383	2	AC
448	3	WA
383	2	AC
364	1	AC
381	9	TLE
363	2	AC
383	2	CE
383	2	WA
380	3	WA
383	2	AC
436	4	WA
436	5	AC
354	2	TLE
436	6	WA
364	2	WA
383	2	WA
380	3	TLE
436	6	AC
436	7	WA
380	3	WA
364	2	WA
383	2	CE
383	2	WA
383	2	AC
363	1	WA
436	8	WA
363	1	WA
384	3	WA
367	1	WA
367	1	AC
380	3	AC
367	3	AC
363	3	AC
383	3	AC
462	9	TLE
384	10	TLE
364	2	AC
384	10	TLE
364	2	WA
363	3	AC
439	2	WA
442	2	WA
364	2	AC
380	9	TLE
439	2	WA
381	9	TLE
383	4	WA
434	1	AC
383	4	WA
354	2	TLE
381	3	WA
383	4	WA
439	3	TLE
439	2	WA
381	3	WA
439	3	TLE
384	10	TLE
381	3	WA
436	4	WA
439	9	WA
381	3	WA
436	4	WA
381	3	WA
436	4	AC
383	6	WA
436	4	WA
380	10	WA
439	1	WA
383	6	WA
380	10	WA
436	4	AC
436	4	WA
441	3	WA
381	3	AC
384	3	AC
436	7	WA
436	7	WA
381	3	AC
436	7	AC
376	2	AC
376	3	TLE
436	1	CE
376	3	CE
383	9	CE
436	1	CE
383	9	CE
376	3	TLE
436	1	AC
383	9	TLE
384	10	TLE
376	3	TLE
376	6	AC
383	9	TLE
376	7	TLE
381	4	WA
381	4	WA
376	7	AC
397	1	AC
381	4	WA
462	3	WA
376	3	WA
364	3	TLE
376	3	AC
376	1	WA
376	1	WA
376	1	AC
364	3	WA
364	3	WA
381	4	WA
376	8	WA
381	4	WA
376	8	WA
397	9	TLE
443	2	WA
381	4	WA
376	8	WA
364	3	WA
443	2	WA
381	4	WA
376	8	WA
381	4	WA
443	3	WA
443	3	WA
384	9	TLE
443	2	AC
376	8	WA
397	10	TLE
443	4	WA
376	8	WA
443	4	WA
376	8	CE
376	8	CE
440	2	WA
440	3	WA
376	8	CE
440	2	AC
376	8	CE
376	8	CE
440	2	AC
440	3	WA
384	9	TLE
376	8	WA
376	8	WA
376	8	AC
351	1	WA
351	1	WA
376	8	IR
376	8	WA
351	1	AC
440	3	WA
436	9	WA
357	1	CE
462	9	TLE
376	8	WA
376	8	WA
376	8	WA
357	1	AC
376	8	CE
376	8	AC
439	2	WA
462	8	TLE
439	3	TLE
439	2	AC
439	3	TLE
357	2	WA
383	10	TLE
383	10	WA
357	2	WA
436	8	WA
436	8	WA
436	8	WA
443	3	AC
383	10	WA
383	10	WA
441	8	AC
443	4	WA
383	9	WA
443	4	WA
383	9	AC
439	3	WA
383	10	TLE
439	3	WA
383	10	AC
439	3	AC
443	4	WA
443	4	WA
372	1	AC
372	2	WA
443	4	WA
372	2	WA
443	5	AC
443	6	AC
381	9	TLE
442	1	WA
381	9	TLE
381	9	TLE
442	1	AC
369	2	AC
381	9	TLE
448	4	WA
369	9	TLE
448	4	WA
381	9	TLE
381	10	TLE
369	9	TLE
369	9	TLE
369	9	TLE
439	4	WA
372	2	WA
356	1	WA
369	9	AC
372	2	AC
436	10	WA
439	5	AC
372	3	TLE
400	9	RTE
375	2	CE
436	10	WA
375	3	CE
375	4	CE
375	5	CE
372	3	TLE
375	5	CE
369	3	TLE
400	9	TLE
375	5	AC
440	4	WA
369	3	TLE
452	1	AC
375	5	AC
377	1	WA
